"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"2016-001640ENF","1324-28 Fell Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001640ENF","1324-28 Fell Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001642ENF","1522 Fell Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001642ENF","1522 Fell Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001642ENF","1522 Fell Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001643ENF","1524 Fell Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001643ENF","1524 Fell Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001643ENF","1524 Fell Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-001644ENF","1925-1927 Lyon Street","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-001644ENF","1925-1927 Lyon Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2016-001644ENF","1925-1927 Lyon Street","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2016-002033ENF","278 Monticello Street","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2016-002033ENF","278 Monticello Street","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2016-002033ENF","278 Monticello Street","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
"2016-003983ENF","461 27th Street","Completion Processing","In Progress","019000000000000","000013000000000","Pending Review"
"2016-003983ENF","461 27th Street","On Hold","NULL","018000000000000","017000000000000","Pending Review"
"2016-003983ENF","461 27th Street","Analysis","NULL","017001000000000","019018000000000","Pending Review"
"2016-004579ENF","950 Grant Avenue Illegal Short-Term Rentals by Apparent Former Lessee","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2016-004579ENF","950 Grant Avenue Illegal Short-Term Rentals by Apparent Former Lessee","On Hold","NULL","018000000000000","017000000000000","Under Review"
